3D Printing & ecommerce,1
AIRLINES_AVIATION,2
APPAREL_AND_FASHION fitness,3
ARCHITECTURE_AND_PLANNING,4
AT&T,5
AT&T ATS,6
Academia,7
Academic Advisor,8
Academics,9
Accounting,10
Accounting & Finance,11
"Accounting (broker dealers, hedge funds, private equity)",12
"Accounting, Finance",13
"Accounting, Tax, Operations, Technology",14
"Accounting, education ",15
Accounting/ Information Technology,16
Accounting/Auditing/Learning & Development,17
Administration,18
Administrative ,19
Advertising Photography,20
Advertising Technology,21
Advisory,22
Airbnb,23
Airline and Aviation,24
Airlines/Aviation,25
"Airlines/Aviation/ sales/artist(art at museum in Chicago)parent ,visual designer.",26
Alternative Medicine,27
Analytics,28
Animal Behavior and Welfare,29
Animals,30
Animation,31
Animation/ cartooning,32
Apparel & Fashion,33
Apparel and Fashion,34
Archaeology,35
Architecture & Planning,36
Architecture and Civil Engineering,37
Architecture and Planning,38
"Architecture, Interior Architecture, Interior Design",39
Art,40
Art Education,41
Arts and Crafts,42
Attorney: Personal Injury,43
Automotive,44
Automotive Manufacturing,45
"Automotive, Digital Marketing",46
Automotive/Aerospace,47
Aviation,48
Aviation & Aerospace,49
Aviation Maintenance,50
Aviation and Aerospace,51
BEAUTY HAIR,52
BPO,53
Baghdad medical city,54
Baking & Pastry,55
Banking,56
"Banking, Major Incident Management",57
Banking/Financial,58
Bbiology,59
Beauty/hairstylist,60
Bio-Medical Engineering,61
Biology Research,62
Biomedical Engineering,63
Biomedical engineering,64
Biomedical research,65
Biopharmaceutical,66
Biotechnology,67
Biotechnology & Pharmaceutical,68
Biotechnology and Pharmaceutical,69
"Biotechnology, Consulting",70
"Biotechnology, neuroscience, computer engineering",71
"Biotechnology, virology, epidemiology",72
Biotechnology/Biomedical Engineering,73
"Brand, Marketing, Entertainment",74
Broadcast Media,75
"Broadcast Media, Telecommunications",76
Building Materials,77
Business,78
"Business - Corporate, Business - Startup",79
Business Development,80
"Business Development, Electrical Engineering",81
Business Journalism,82
Business Supplies and Equipment,83
CIVIL_ENGINEERING,84
COMPUTER_SOFTWARE,85
CRIMINAL JUSTICE/LAW ENFORCEMENT/POLYGRAPH EXAMINER/MILITARY/BUSINESS OWNER,86
CSR,87
CST,88
Cable Broadcast,89
Cancer Research,90
Capital Markets,91
Cardiothoracic Surgery,92
Care Giver,93
Career Advising & Counseling,94
Career Coaching,95
Career Counseling,96
Career Counseling & Employment Coaching,97
Career Counseling Certification,98
Career Counselor,99
Career Development,100
Career and Workplace Development,101
Chef/caterer,102
Chemical Engineering,103
Chemicals,104
"Chemicals, Pharmaceuticals ",105
Childrens and Women Apparel and Fashion,106
Civic & Social Organization,107
Civic and Social Organization,108
Civil Engineering,109
Civil/Environmental/Chemical/Mechanical,110
Client Services/Legal Field,111
Clinical Research and Pharma Regulatory Affairs,112
College Access and Success,113
College Admissions and Career Counseling,114
Commercial Real Estate,115
Communications,116
"Communications, Media marketing, events management, investments",117
Community,118
Community ,119
Community Relations,120
Computer,121
Computer ,122
Computer & Network Security,123
Computer Games,124
Computer Hardware,125
"Computer Hardware, Computer software, Application troubleshooting and sales",126
Computer Manufacturing,127
Computer Networking,128
Computer Science,129
Computer Software,130
Computer Software (formerly biology),131
Computer Software and Systems,132
"Computer Software, Security, Education,",133
Computer Solutions,134
Computer and Network Security,135
Computer and Tabletop Games,136
Computers,137
"Conservation - Education, community, wildlife rehabilitation",138
Construction,139
"Construction, Banking, Insurance, Technology",140
"Construction, Budget, Desing, Residential construction, Coordination, Estimating",141
Construction/HVAC,142
Construction/Human Resource,143
Consulting,144
Consulting & Coaching,145
Consulting Engineering,146
Consulting and philanthropy  ,147
"Consulting, counseling & human resources",148
Consumer Electronics,149
Consumer Electronics/Medical Devices,150
Consumer Goods,151
Consumer Markets,152
Consumer Services,153
Consumer Services call,154
"Content Marketing, Technology, Information Technology and Services",155
Contracts - Technology ,156
Corporate Philanthropy ,157
"Corporate Physical Safety and Security, Property Management",158
Corporate Responsibility,159
Corporate Social Responsibility,160
Cosmetics,161
Cosmetology,162
Cosmetology /Beauty,163
"Counseling, Higher Education, IT,  Research",164
Creative,165
Creative Marketing,166
Creative Writing / Editing,167
Criminal Justice,168
Cultural Resource Management,169
Customer Service/Health,170
Customer care,171
Customer service and psychology,172
Cyber Security,173
"Cyber Security, Investigations and Legal",174
Cybersecurity,175
DAnce and the Performing Arts,176
Dance ecucation,177
Data Analytics,178
Data Science,179
Data Science Consulting Services,180
Defense & Space,181
Defense and Space,182
Defense and Space/team building/leadership,183
Dell,184
Dell Computadores do Brasil,185
Dell Technologies,186
Dell computers,187
Dental Hygiene and Preventive Oral Care Specialist,188
Dental practice,189
Dental private practice,190
Dentist,191
Dentistry,192
Dentistry ,193
"Dentistry, Health, Wellness and  Fitness",194
Dermatology,195
Design,196
Design / Apparel,197
Design and Technology,198
"Design and manufacturing, leather goods",199
"Design, communications",200
Design/Technology,201
Digital Filmmaking,202
Digital Media Services,203
Digital Photography - Computer Graphic,204
Digital product design,205
Doctor,206
Don’t have one,207
E-Learning,208
E-Learning; Education; Business; Management; ,209
E-learning,210
E-learning Development,211
"E-learning, writing",212
E-learning; Marketing; Entrepreneurship,213
ELECTRICAL_AND_ELECTRONIC_MANUFACTURING,214
Early Childhood Education,215
"Economic Development, Chamber of Commerce Consulting",216
EdTech,217
Eduation,218
Education,219
Education ,220
Education & Nonprofit,221
Education & Psychology,222
Education &Management,223
Education Consulting,224
Education Management,225
Education Management/ Director of Career Development,226
Education Technology,227
"Education Technology, Career Coaching",228
Education and Technology,229
"Education, Career Advising",230
"Education, Finance, Management Information Systems, Mental Health",231
Education/ Fitness,232
Education/Employment/Training,233
Educational Publishing,234
Electrical and Electronic Manufacturing,235
Electrical/Electronic Manufacturing,236
Electronic Music ,237
Emergency Medicine,238
"Energy, Technology",239
Engineering,240
Engineering Management Consulting,241
Engineering and Construction,242
Enterprise Software & Applications,243
Entertainment,244
Entertainment & Sports Law,245
Entertainment and Career Strategist ,246
Entertainment/Marketing,247
Entertainment/Media,248
Entertainment/Motion Pictures/Film & Music Festivals,249
Entrepreneur,250
Environmental Consulting,251
Environmental Engineering,252
Environmental Services,253
