,questions_id,answers_id,questions_id,professionals_industry,industry_codes
0,f6b9ca94aed04ba28256492708e74f60,7640a6e5d5224c8681cc58de860858f4,f6b9ca94aed04ba28256492708e74f60,Other,563
1,00f9376f9c864631bc970f3a49c6aa08,26e01bf820d84de4952d5fe04aab62e1,00f9376f9c864631bc970f3a49c6aa08,Other,563
2,08a105aaa206418294d7bdf291e0235d,0f5615fcffb349d9b07e9a714d0573dc,08a105aaa206418294d7bdf291e0235d,Other,563
3,2c5bd5eb628245acb868c81fefcfe5e0,281c2557f0154dde984707e40100b8b4,2c5bd5eb628245acb868c81fefcfe5e0,Other,563
4,2f2378acab3f444199ee2b69d2d3626f,63b7a06323ee4d578a37cf780debfa58,2f2378acab3f444199ee2b69d2d3626f,Other,563
5,333464d7484b43e3866e86096bc4ddb9,683b200ad5014e84a441db677f990d75,333464d7484b43e3866e86096bc4ddb9,Other,563
6,34feb9980e7742109adfab22828329f0,1ddd5ce4c80c4523bc055f7f4b66d4a1,34feb9980e7742109adfab22828329f0,Other,563
7,3738884893914f98bc9b6274248700fc,765f4a46b76c4c3496cbc2de6faf8c2d,3738884893914f98bc9b6274248700fc,Other,563
8,5bd585028efe49f4b89701b84e6fbe8c,d0388adf192c4683a1d9a079f88fbd52,5bd585028efe49f4b89701b84e6fbe8c,Other,563
9,60824610a30541eda9e1e7ed6b7b3599,d27157b184a54761ab51f79fab878b0c,60824610a30541eda9e1e7ed6b7b3599,Other,563
10,700172696b9b48859d4a9855f1878ac5,9522aa09989043b88319bd1b2080b1bf,700172696b9b48859d4a9855f1878ac5,Other,563
11,71a6ab49a9444c60b45c458b57fa5960,90826bc9dd574074a5a56dffcb021d71,71a6ab49a9444c60b45c458b57fa5960,Other,563
12,749c5632a7c34f3f86590c9f8a1da2db,63118ff15bb142caba765d30cd2e71b0,749c5632a7c34f3f86590c9f8a1da2db,Other,563
13,82acf6d8608b4743848d0c8c4e5c610b,ae8d6e375f804c698c324def1a3bf4f9,82acf6d8608b4743848d0c8c4e5c610b,Other,563
14,8ce7dde9cbe04940bbcdf4577e7296f3,2b0a9b3c1f5c48168696ce1a614582c3,8ce7dde9cbe04940bbcdf4577e7296f3,Other,563
15,9d211b99e17c46fbbaca03dc6b43f1c4,5d670d5f8700402ab56bae609b06d02d,9d211b99e17c46fbbaca03dc6b43f1c4,Other,563
16,9dcea61327f545f7a0a3f75365477555,3ac551fd27224579944227533762164e,9dcea61327f545f7a0a3f75365477555,Other,563
17,a7bc96f56e0742a9a39bbb91d118b465,43aee8f10fb14ae2a235a95dbc05dfc4,a7bc96f56e0742a9a39bbb91d118b465,Other,563
18,b3534776e3854e8bb73d8a1b1be3511f,f46ad30f5220449f9ac36f66f49ba310,b3534776e3854e8bb73d8a1b1be3511f,Other,563
19,c9c6a69320874a0ca994a41073ca6a6b,37becf313a4a4526a0bb0c3d67d78b75,c9c6a69320874a0ca994a41073ca6a6b,Other,563
20,ca209b4e19064d8e9834b3ca1a3f5361,7d1a41e5ef48410fa7ff647a4bf87eed,ca209b4e19064d8e9834b3ca1a3f5361,Other,563
21,d98717b213984ed1a715bd88367d6258,a836064f4eaf491eaeb4142e8d4cd752,d98717b213984ed1a715bd88367d6258,Other,563
22,dfd33a7465f540989adf7795cbedb712,429ecea83a574e84affba375ce6da5ef,dfd33a7465f540989adf7795cbedb712,Other,563
23,e978b437413048c183e3cb556f90a878,6d823a750e294c75b10fafbbbaf19855,e978b437413048c183e3cb556f90a878,Other,563
