ARCHITECTURE_AND_PLANNING,1
Academia,2
Academic Advisor,3
Accounting,4
Accounting & Finance,5
"Accounting (broker dealers, hedge funds, private equity)",6
"Accounting, Tax, Operations, Technology",7
"Accounting, education ",8
Accounting/ Information Technology,9
Accounting/Auditing/Learning & Development,10
Administrative ,11
Advertising Technology,12
Airbnb,13
Airlines/Aviation,14
Animal Behavior and Welfare,15
Animation,16
Apparel & Fashion,17
Apparel and Fashion,18
Architecture & Planning,19
Architecture and Planning,20
Art Education,21
Arts and Crafts,22
Automotive,23
Aviation,24
Aviation & Aerospace,25
Aviation and Aerospace,26
Banking,27
Banking/Financial,28
Biology Research,29
Biomedical research,30
Biotechnology,31
Biotechnology and Pharmaceutical,32
Broadcast Media,33
Business,34
Business Journalism,35
CIVIL_ENGINEERING,36
COMPUTER_SOFTWARE,37
CRIMINAL JUSTICE/LAW ENFORCEMENT/POLYGRAPH EXAMINER/MILITARY/BUSINESS OWNER,38
CSR,39
Capital Markets,40
Career Advising & Counseling,41
Career Coaching,42
Career Counseling,43
Career Counseling & Employment Coaching,44
Career Counseling Certification,45
Chemical Engineering,46
Chemicals,47
"Chemicals, Pharmaceuticals ",48
Civic & Social Organization,49
Civic and Social Organization,50
Civil Engineering,51
Civil/Environmental/Chemical/Mechanical,52
Client Services/Legal Field,53
College Admissions and Career Counseling,54
Commercial Real Estate,55
Communications,56
"Communications, Media marketing, events management, investments",57
Community,58
Community Relations,59
Computer & Network Security,60
Computer Games,61
Computer Hardware,62
"Computer Hardware, Computer software, Application troubleshooting and sales",63
Computer Networking,64
Computer Software,65
Computer Software (formerly biology),66
Computer Solutions,67
Computer and Network Security,68
Computer and Tabletop Games,69
Construction,70
Consulting,71
Consulting Engineering,72
"Consulting, counseling & human resources",73
Consumer Electronics,74
Consumer Electronics/Medical Devices,75
Consumer Goods,76
Consumer Markets,77
Consumer Services,78
Corporate Responsibility,79
Corporate Social Responsibility,80
Cosmetics,81
Cosmetology /Beauty,82
Criminal Justice,83
Cybersecurity,84
Dance ecucation,85
Defense & Space,86
Defense and Space,87
Defense and Space/team building/leadership,88
Dell,89
Dell Technologies,90
Dentistry,91
Design,92
Design and Technology,93
Digital product design,94
E-Learning,95
E-Learning; Education; Business; Management; ,96
E-learning,97
"E-learning, writing",98
Eduation,99
Education,100
Education ,101
Education Consulting,102
Education Management,103
Education Technology,104
"Education Technology, Career Coaching",105
Education and Technology,106
"Education, Finance, Management Information Systems, Mental Health",107
Electrical and Electronic Manufacturing,108
Electrical/Electronic Manufacturing,109
Emergency Medicine,110
Engineering,111
Engineering and Construction,112
Entertainment,113
Entertainment/Motion Pictures/Film & Music Festivals,114
Entrepreneur,115
Environmental Services,116
Environmental Services & Food Safety,117
Environmental Services - Music and Event management,118
Events Services,119
Executive Office,120
Facilities Services,121
Farming,122
Film & Stage Acting/ Directing,123
Finance,124
Finance ,125
Finance and mortgage underwriting,126
Financial Crimes/Fraud,127
Financial Services,128
"Financial Services, Insurance and Sales",129
"Financial Services, Technology",130
Financial Services/Education,131
Fine Art,132
Food & Beverages,133
Food Production,134
Food and Beverages,135
Forensic Science,136
"GRAPHIC_DESIGN, ILLUSTRATION",137
Game Development,138
Games,139
Government,140
Government Administration,141
Government Human Services Public health Relations Consultant ,142
Government Relations,143
Government Relations and Career,144
Graphic Design,145
"Graphic Design, Advertising and Management ",146
Graphic Design/Art/Visual Communications,147
HOSPITAL_AND_HEALTH_CARE,148
HR,149
Health Care,150
Health Care / Freelance Graphic Designer,151
"Health, Wellness and Fitness",152
"Health, Wellness and Fitness, federal jobs, internships, ",153
Healthcare ,154
Healthcare & Higher Education,155
"Healthcare, Pharmaceuticals, Life Science",156
